id_devolucion,id_venta,motivo,fecha_devolucion
1,135225,Cambio de talla,2024-09-01
2,176460,Defecto,2024/07/20 04:12:34
3,153853,Defecto,2023/11/07 07:16:33
4,159680,Cliente no satisfecho,N/A
5,48451,Error despacho,02-13-2024
6,331232,Cliente no satisfecho,10-08-2023
7,63609,Cambio de talla,2023/02/26 02:29:27
8,299255,Cliente no satisfecho,N/A
9,196657,Defecto,2024/01/08 15:28:42
10,227418,Error despacho,04-08-2024
11,188250,N/A,N/A
12,50354,Cliente no satisfecho,12-16-2023
13,308719,Cliente no satisfecho,04-27-2023
14,130622,Cliente no satisfecho,2024-05-03
15,200426,Defecto,09/11/2023
16,57644,N/A,07-25-2024
17,312262,Error despacho,02-10-2024
18,222056,Cliente no satisfecho,17/01/2023
19,46724,Cliente no satisfecho,N/A
20,129523,Error despacho,N/A
21,14900,Error despacho,12/05/2024
22,121097,Error despacho,05-01-2023
23,178571,N/A,05-16-2023
24,153168,N/A,03/07/2024
25,282132,N/A,05/07/2024
26,92329,Cliente no satisfecho,N/A
27,195691,Defecto,2024-05-22
28,143221,Defecto,2023-07-12
29,138602,Error despacho,2023/08/18 22:41:50
30,112780,Cliente no satisfecho,17/07/2024
31,87997,Cambio de talla,N/A
32,77713,Defecto,2024/02/15 00:36:09
33,160019,Cliente no satisfecho,2024-01-16
34,130160,N/A,2024-04-12
35,80122,Error despacho,N/A
36,335884,Error despacho,2023-01-16
37,150502,Defecto,16/10/2023
38,317270,Cambio de talla,20/08/2024
39,228460,Cambio de talla,N/A
40,126735,N/A,26/05/2024
41,211249,Cambio de talla,12-26-2023
42,330484,Defecto,07-28-2024
43,249393,N/A,01-06-2024
44,236202,Defecto,03-02-2024
45,77900,Cambio de talla,02/01/2023
46,262404,N/A,28/10/2023
47,251205,N/A,2024-06-24
48,118491,Cliente no satisfecho,2024-06-28
49,156719,N/A,2024-09-25
50,17507,,2024/07/10 06:19:15
51,108917,Error despacho,2023/11/25 19:07:41
52,287450,Defecto,22/08/2024
53,174304,Cambio de talla,2024-01-31
54,220135,Cliente no satisfecho,N/A
55,14191,Cliente no satisfecho,N/A
56,149296,Cliente no satisfecho,13/07/2024
57,336272,N/A,2024/02/16 10:54:53
58,43750,N/A,2023-06-14
59,267929,Cambio de talla,N/A
60,219056,Error despacho,2023-03-22
61,152987,Defecto,N/A
62,60418,Cambio de talla,2023-05-11
63,303295,Defecto,04/06/2023
64,186779,Cambio de talla,03-24-2024
65,78915,Error despacho,2023-03-21
66,28008,Cliente no satisfecho,N/A
67,311608,Cliente no satisfecho,N/A
68,331040,Defecto,2023/02/04 20:23:30
69,337202,Cambio de talla,N/A
70,100370,N/A,29/12/2023
71,69384,Error despacho,2024/04/10 02:05:11
72,281243,Defecto,18/01/2023
73,100805,Cambio de talla,2023/03/06 22:27:13
74,258405,Error despacho,01-22-2023
75,42457,Cambio de talla,2024-02-28
76,337608,Cliente no satisfecho,23/06/2024
77,239555,Defecto,N/A
78,133986,Cliente no satisfecho,2023-10-29
79,12993,N/A,24/01/2024
80,173653,Error despacho,2023/02/16 20:00:58
81,34786,Cambio de talla,2023/02/27 15:10:06
82,62045,Cliente no satisfecho,24/09/2023
83,139806,Error despacho,02/10/2023
84,189778,Cliente no satisfecho,28/01/2023
