id_venta,id_cliente,id_tienda,id_producto,cantidad,monto,fecha_venta,updated_at
313467,1451,168,1018,7,865.38,N/A,2024/09/01 11:32:01
204889,575,151,856,10,350.23,2024-08-18,18/08/2024
326520,2554,153,11,3,946.65,N/A,2024-09-15
163669,4324,213,798,13,1396.51,07/08/2024,23/09/2024
22362,2271,97,786,12,1148.71,07-09-2024,2024-07-08
318321,214,191,1012,3,436.15,09-29-2024,2024/08/25 21:53:24
305166,2538,182,61,8,89.27,2024/09/06 18:43:19,2024-07-26
119247,2243,108,845,8,1406.81,N/A,2024-08-17
317687,395,24,767,14,340.03,08-08-2024,2024/07/26 10:59:21
300817,777,7,459,6,263.31,14/09/2024,N/A
28506,5475,216,60,8,47.63,2024/07/12 05:56:10,07-30-2024
327655,3733,140,527,6,1064.04,2024-07-04,N/A
322458,5532,0,631,7,851.91,2024/08/08 12:25:03,09-16-2024
279118,401,138,603,13,1298.9,N/A,07-06-2024
113765,1550,133,909,7,350.08,2024-07-21,26/09/2024
5818,1213,95,632,3,1255.87,N/A,2024/08/04 05:17:26
319647,1930,91,505,14,819.09,01/08/2024,2024/07/04 21:03:30
9953,3125,827,514,13,62.23,08-18-2024,2024-07-08
246058,1443,190,813,6,1016.0,2024-09-23,09-24-2024
57005,5606,20,716,1,763.26,2024-08-16,N/A
330424,3618,219,65,14,652.57,19/09/2024,N/A
299856,5902,134,798,13,406.17,N/A,2024-08-20
246744,166,206,234,10,160.16,N/A,N/A
26801,3375,158,422,3,827.4,N/A,09-22-2024
153874,476,98,687,5,313.65,2024/09/06 02:35:39,2024-09-20
322983,3559,70,1051,4,1364.98,07/09/2024,N/A
249062,4205,170,242,3,1249.43,2024/08/17 23:11:39,2024-07-28
320452,1998,103,372,2,286.58,04/07/2024,N/A
301467,4299,51,25,3,1120.19,2024-09-20,N/A
84046,1650,79,792,1,211.38,N/A,12/07/2024
207111,3220,102,723,12,1428.01,08-14-2024,09-20-2024
247460,3259,34,863, 5u ,661.21,N/A,2024-07-30
229519,5563,90,1086,13,728.91,09-26-2024,2024/09/06 05:16:36
318287,1163,104,632,12,1464.92,2024/07/12 08:43:35,07-09-2024
314325,2730,165,532,2,203.75,2024-07-01,N/A
226439,478,88,1068,10,300.21,2024-07-21,09-24-2024
70303,4870,70,60,13,164.03,N/A,08-21-2024
327203,450,42,1181,14,1009.68,N/A,2024/09/24 04:42:32
319759,1936,134,1119,9,174.97,2024-09-03,2024-08-02
303519,3918,51,781,8,626.92,17/09/2024,2024/08/05 13:08:17
307731,3130,170,96,14,69.25,18/07/2024,N/A
314540,5625,83,543,13,516.65,2024/07/06 20:59:12,N/A
92373,917,40,258,8,1164.63,N/A,2024-07-01
311568,3365,22,711,11,551.09,N/A,04/07/2024
260223,160,101,746,1,391.35,18/09/2024,N/A
292588,2617,173,420,14,480.24,2024-07-13,N/A
119891,4761,126,349,3,290.28,06/09/2024,2024/07/27 01:05:24
318794,5384,56,520,10,229.2,N/A,2024/09/14 12:54:58
312105,4077,164,1141,1,1117.45,08-12-2024,07-23-2024
253687,1652,38,954,5,180.24,N/A,2024/07/06 12:37:30
310945,5376,51,155,2,1339.59,09-07-2024,2024/08/02 04:04:58
214710,967,26,98,12,725.01,2024-08-01,31/08/2024
66984,5743,134,134,14,767.67,2024-07-23,2024/09/01 18:08:48
302593,5609,143,905,14,82.67,2024/09/01 01:24:46,24/07/2024
311041,3058,79,134,3,1445.66,N/A,2024/09/09 14:08:06
127242,541,144,1092,3,1150.72,2024/09/25 00:03:05,2024-08-13
6161,4308,58,313,2,383.45,2024-09-21,2024-07-03
253586,1557,166,217,5,113.82,2024-07-19,09-08-2024
301538,2508,122,446,14,470.05,N/A,08-09-2024
30563,5211,574,942,4,60.63,15/09/2024,N/A
320855,2240,154,582,3,619.48,2024/07/19 08:42:58,2024-09-06
329023,1679,145,286,6,1247.19,27/07/2024,N/A
16501,4709,85,384,7,1107.51,24/09/2024,08-25-2024
318177,3071,101,710,7,251.92,09-28-2024,2024/07/30 19:22:31
159980,2264,168,137,4,372.52,N/A,2024-09-19
284792,1767,165,518,8,825.4,2024/07/06 03:36:52,15/08/2024
164260,5385,151,460,3,1138.37,2024/09/05 02:35:53,2024/08/09 08:42:12
309106,1281,131,641,11,148.06,N/A,2024/08/09 14:10:03
155000,3303,204,137,7,729.82,09-03-2024,N/A
324855,1992,74,620,12,768.33,09-07-2024,N/A
324137,2610,100,923,3,1109.43,21/09/2024,02/07/2024
120982,4982,220,959,1,756.36,07-15-2024,2024-07-27
185473,802,58,469,12,849.4,2024-09-10,15/07/2024
99730,5260,110,0,13,463.32,09-14-2024,07-08-2024
73395,228,91,576,2,168.7,07-04-2024,N/A
117313,5889,88,60,13,1344.85,18/07/2024,N/A
110523,5464,212,508,8,151.43,10/07/2024,24/09/2024
133753,3078,10,771,8,957.49,N/A,2024/08/22 14:10:33
236486,5103,160,389,5,1367.23,2024-07-21,09-15-2024
57924,3630,14,977,5,1417.23,24/07/2024,02/09/2024
57234,3892,137,535,13,1188.85,2024/09/25 05:26:15,2024/07/31 04:40:32
86182,2264,117,1004,14,747.5,2024-07-01,2024/07/07 17:20:55
229904,3329,173,894,5,934.32,08-27-2024,2024-09-29
67283,3111,79,1855,2,896.08,09/09/2024,2024-09-09
311600,5054,183,491,12,728.66,2024-07-04,16/09/2024
307861,6703,52,884,14,140.83,22/07/2024,2024/09/14 19:42:10
108371,6830,160,632,12,785.15,2024/07/15 12:12:49,2024-09-26
248072,71,183,124,14,314.16,N/A,2024/09/25 03:20:37
312978,4888,72,381,8,823.68,N/A,2024/09/26 06:06:14
30811,2159,69,806,11,252.74,25/07/2024,2024/08/04 03:25:25
326259,1359,53,1170,10,,2024-07-20,09-01-2024
11744,2967,36,1125,2,507.74,09-25-2024,08-30-2024
328637,4171,14,116,14,178.61,08-02-2024,24/09/2024
306919,2509,141,29,12,594.34,09-18-2024,2024-08-27
292454,2671,160,19,8,39.87,08-16-2024,08-11-2024
250119,4321,9,953,11,718.26,2024/08/23 19:34:19,2024/08/30 02:31:12
319121,990,181,692,9,145.63,N/A,24/09/2024
39320,1544,34,244,11,110.53,02/08/2024,08-06-2024
217558,378,40,788,2,1230.84,2024-08-05,04/08/2024
322366,5430,206,930,1,698.14,07-01-2024,09-04-2024
29322,3241,4,761,2,1234.11,12/08/2024,2024/08/20 05:04:40
274460,4379,169,219,12,626.97,19/09/2024,07-19-2024
85563,1632,138,1092,7,184.91,2024/09/11 12:17:55,17/07/2024
44833,810,134,44,14,139.42,N/A,N/A
41997,5650,62,752,6,815.79,08-21-2024,21/07/2024
328178,1976,208,1033,8,905.97,2024/08/26 19:48:26,2024-09-24
153232,2785,42,898,12,949.3,2024/09/01 04:27:10,2024-08-17
62834,4918,179,781,13,301.04,27/09/2024,N/A
193002,4477,122,686,1,782.92,2024-08-08,2024/07/22 20:49:29
139583,5228,61,1026,7,1438.81,2024-07-21,09-08-2024
75911,3476,172,1173,7,516.29,2024-07-31,N/A
263958,3658,37,589,12,1057.13,09-11-2024,2024-09-19
135892,3615,69,935,8,335.61,N/A,10/09/2024
220613,2890,166,765,13,1333.76,07/08/2024,N/A
320209,3956,148,415,5,1175.22,N/A,2024/09/04 03:34:11
29968,4243,133,366,4,298.13,2024-09-15,21/07/2024
209947,5920,161,814,9,1144.53,2024/07/08 08:18:25,2024-08-13
325281,415,131,1109,6,1133.82,N/A,N/A
282245,1166,126,688,8,937.67,2024/09/25 04:43:09,2024/07/22 23:00:12
168669,2054,3,220,2,1074.89,N/A,2024-09-23
323712,101,195,583,4,625.88,30/07/2024,2024-07-27
311241,5333,136,233,3,442.47,2024-08-14,29/07/2024
69796,3605,833,888,8,762.19,2024/09/23 01:23:28,08-11-2024
126010,581,103,1168,4,730.93,2024-09-14,09-08-2024
107566,1796,58,35,13,1284.47,N/A,2024/08/18 20:29:11
307401,5405,184,499,3,1227.68,N/A,11/09/2024
207840,2845,55,98,13,210.01,10/08/2024,08/08/2024
64624,1282,166,55,13,482.36,2024/08/28 03:07:35,N/A
117582,1135,63,375,9,935.32,08-20-2024,25/07/2024
255880,3664,126,18,4,14.2,2024-09-15,2024/07/14 03:41:42
118737,946,71,308,5,548.68,08-21-2024,2024-09-27
173532,1073,164,565,6,1005.17,14/07/2024,N/A
30164,5785,16,869,3,940.94,2024/08/20 20:34:25,2024/07/29 20:08:06
120341,4019,113,393,10,352.26,2024/08/10 19:34:28,07-19-2024
234640,3797,93,877,9,1286.8,2024/08/18 05:23:20,2024/09/01 15:24:15
5624,65,33,832,8,848.89,2024/08/04 14:30:31,N/A
301272,670,59,907,10,1121.15,08-06-2024,N/A
311618,1336,69,561,12,481.84,2024-09-04,08-05-2024
100556,5257,203,750,3,1200.41,2024/09/17 03:26:58,08-04-2024
194352,5853,92,1056,9,1065.97,2024/07/24 00:54:51,N/A
71805,2462,118,877,12,12.1,N/A,2024-07-02
314976,4348,8,879,9,68.23,2024/08/30 06:03:14,2024-09-12
309954,3497,55,280,5,1493.42,2024/08/16 01:47:39,2024/08/31 11:44:46
322012,646,115,458,10,1133.84,08-15-2024,12/07/2024
255941,4241,88,1155,13,764.09,2024/08/05 13:56:25,N/A
63482,2963,167,964,12,651.29,07-21-2024,08-12-2024
281535,388,202,486,2,710.12,08-07-2024,07-22-2024
306494,2291,105,99,13,691.23,25/08/2024,2024/07/10 02:33:10
57043,1306,190,669,9,1298.46,13/09/2024,2024/08/12 20:16:04
190210,2519,163,24,4,1010.17,2024/09/21 06:55:16,08-06-2024
329017,873,75,720,11,535.96,23/07/2024,2024-09-29
326720,3969,160,748,6,532.24,13/08/2024,2024/08/10 21:50:37
64928,1205,71,856,5,620.87,N/A,N/A
166439,2719,127,800,8,974.72,N/A,2024-09-22
297761,5782,16,862,9,1022.73,13/07/2024,2024-08-09
180343,3969,215,487,8,993.24,2024/08/12 09:11:00,N/A
217259,5857,45,46,1,190.04,09-29-2024,2024-08-06
305937,5336,57,551,11,999.57,19/08/2024,2024/09/12 15:18:28
77649,4755,118,102,12,763.8,03/09/2024,N/A
200354,5002,181,213,12,1393.75,2024/08/16 07:54:33,13/07/2024
322793,1037,108,187,9,380.62,09-08-2024,2024/07/16 17:43:41
26746,2226,169,922,10,728.36,N/A,2024-09-08
77513,1046,128,361,14,1273.74,2024/07/19 19:33:31,14/09/2024
116313,4460,162,82,13,957.3,N/A,03/08/2024
4457,2337,206,330,10,697.36,2024-07-22,20/08/2024
319034,4311,42,1004,4,1174.51,2024/08/20 22:41:38,N/A
186626,3368,13,613,8,1120.9,09-08-2024,11/08/2024
76883,5951,91,723,10,1350.27,08-02-2024,07-27-2024
279474,1938,124,471,3,1253.84,26/08/2024,N/A
176903,1036,201,773,9,1315.61,17/09/2024,2024/09/08 18:03:27
310173,2012,180,981,13,653.15,N/A,2024-08-02
272366,190,55,712,12,421.26,16/08/2024,08-18-2024
306956,2260,66,531,14,1145.32,09-28-2024,2024/09/15 08:12:22
293447,1471,216,244,9,960.31,N/A,N/A
176718,1514,191,1643,12,448.79,2024/08/12 01:04:40,2024-08-25
156822,3584,210,148,9,668.83,18/08/2024,2024-07-17
219291,6513,156,666,4,167.3,N/A,2024-08-18
314972,3235,195,729,4,255.59,01/09/2024,08-06-2024
228531,2026,205,1108,8,466.64,07-04-2024,09-10-2024
43618,545,190,964,7,800.95,N/A,2024-07-07
295190,800,72,1144,3,913.58,21/09/2024,2024/09/23 02:51:41
331801,5093,215,539,2,1389.66,2024/09/17 07:47:56,2024-07-27
146355,4333,150,1133,7,526.09,2024-09-12,08-09-2024
131284,3665,192,813,4,810.72,N/A,2024-09-16
147510,4547,107,796,14,1201.72,09-24-2024,2024/07/02 04:49:26
306639,4184,216,601,4,383.73,09-18-2024,08-17-2024
305872,4765,139,352,11,563.48,08-13-2024,2024/07/21 04:16:58
235597,6426,183,395,1,954.84,2024-07-04,28/08/2024
43355,4659,2,564,6,218.64,2024-08-12,N/A
318114,959,215,1075,13,207.46,18/09/2024,2024-07-21
4533,117,3,396,4,1320.44,17/08/2024,23/09/2024
310552,301,85,1084,3,1091.99,N/A,2024/07/26 07:32:40
314462,4890,64,315,2,139.18,N/A,2024/09/13 11:37:57
42701,2799,135,653,5,748.3,07-12-2024,18/09/2024
323895,4379,176,1101,8,738.42,2024-08-03,07-22-2024
181910,2923,70,1017,5,79.1,15/07/2024,N/A
205418,72,138,785,2,1246.42,09-14-2024,16/08/2024
315221,3432,188,181,14,,2024-08-09,16/09/2024
306650,1793,86,110,12,1032.31,13/09/2024,28/07/2024
186705,902,217,298,8,1407.24,03/09/2024,11/09/2024
317481,1232,45,80,4,741.77,23/08/2024,09-20-2024
158303,5888,47,678,1,1478.28,09-25-2024,N/A
301639,4702,8,878,3,947.71,N/A,2024/08/17 01:05:10
114358,780,180,149,8,1178.59,2024-07-01,N/A
102633,2528,92,534,7,998.1,2024-08-04,2024/09/08 01:53:22
34518,4715,149,1148,9,418.65,2024/07/05 13:24:21,07/08/2024
69629,4114,186,142,3,1429.32,N/A,08-08-2024
29171,1844,65,829,11,1306.69,2024/08/11 06:19:05,2024-09-19
173310,2149,63,801,10,938.54,08-30-2024,2024-08-02
201936,981,189,1186,6,1103.79,08-06-2024,2024/08/27 16:54:18
259378,981,114,806,4,1027.81,07-25-2024,N/A
72266,1026,124,1199,10,268.19,07-18-2024,24/09/2024
135934,3318,213,501,5,755.61,24/08/2024,N/A
263374,1169,119,355,10,421.73,25/09/2024,08-08-2024
259183,5529,210,494,7,1093.26,N/A,09-03-2024
323994,5086,40,839,3,1268.28,2024/08/31 19:20:49,19/07/2024
325162,5248,70,989,2,1379.45,2024/08/12 07:01:07,08-21-2024
25268,1827,118,254,12,787.35,2024-07-17,N/A
126208,617,83,166,12,883.63,07-16-2024,2024-07-22
50531,1069,166,417,13,1181.85,N/A,N/A
325767,3189,41,395,13,1265.45,2024/07/07 07:12:41,N/A
314760,1002,219,492,3,85.95,08-30-2024,2024/08/16 06:00:33
85709,5228,61,529,2,1450.6,N/A,2024-08-05
124091,3689,27,737,14,1238.91,N/A,2024/07/15 12:44:28
303995,648,97,725,5,,N/A,N/A
119043,5898,70,880,3,833.08,2024/08/04 15:28:01,2024-07-10
273142,5140,88,9,12,1466.48,2024-07-21,N/A
101708,871,169,198,9,1119.17,N/A,2024/07/25 10:31:49
228644,2129,4,470,8,589.36,08-23-2024,24/08/2024
9965,3862,206,34,4,1408.65,N/A,2024-09-05
146025,98,94,383,6,786.47,2024/08/14 02:20:29,09-09-2024
327971,5307,76,79,6,221.14,2024-07-16,N/A
327851,1775,6,455,2,336.18,07-03-2024,N/A
326559,1289,211,871,7,131.14,N/A,2024/09/11 11:38:23
147160,4614,16,163,10,898.46,2024/09/29 00:08:31,2024/08/15 23:07:57
194988,4736,216,490,4,1419.39,09-04-2024,08-17-2024
325744,5075,37,125,4,303.95,N/A,03/09/2024
93114,3273,47,388,9,377.03,2024-09-02,15/07/2024
156574,5026,211,823,11,827.13,07-06-2024,09-04-2024
21160,5464,97,15,5,456.03,20/09/2024,2024-09-27
134231,6000,71,781,1,1227.6,07-27-2024,08-14-2024
242981,511,119,526,13,184.09,2024-08-08,13/07/2024
302527,1683,212,212,5,1054.33,09-04-2024,2024-09-01
49258,1078,211,530,13,1031.35,08-10-2024,08-07-2024
311607,6000,104,170,1,273.97,01/08/2024,2024-07-14
311333,978,68,865,3,1079.69,24/07/2024,N/A
10855,1533,98,1154,1,154.58,08-19-2024,N/A
298558,2239,44,1200,2,822.07,08-10-2024,2024-08-08
312210,2539,14,1138,9,745.07,12/07/2024,2024/09/29 17:08:16
300486,1979,153,675,13,201.16,07-13-2024,07-21-2024
320975,5813,200,918,9,140.21,06/09/2024,2024-07-19
314342,2479,150,865,14,1404.42,2024-07-19,2024-08-13
241626,2737,157,431,2,914.42,18/08/2024,10/07/2024
307030,943,28,514,7,440.2,N/A,2024-09-01
304366,3495,194,653,13,435.1,N/A,2024/08/15 04:28:19
304203,3082,30,1170,3,730.28,2024/07/08 21:57:08,08/08/2024
55865,4215,18,2057,6,577.45,2024-07-19,N/A
37206,552,155,762,14,656.7,N/A,08-09-2024
120717,2052,32,166,14,1383.68,2024/07/30 18:43:43,2024/07/23 19:33:48
306642,2726,176,72,11,163.04,04/09/2024,2024-07-22
263739,5194,26,289,11,250.16,N/A,2024-08-30
15420,2800,174,315,3,456.32,09-01-2024,2024-08-13
62218,3826,212,154,5,1409.74,N/A,2024-09-22
277,5815,173,960,13,462.12,2024/07/24 10:12:09,07-13-2024
24949,2579,500,608,11,643.92,2024-07-06,07-20-2024
301487,580,73,3,6,568.58,29/07/2024,2024-08-03
303024,4816,134,733,2,43.41,2024-08-08,2024-09-18
168958,3695,211,1026,8,293.02,2024-08-07,09-22-2024
315742,2362,191,1133,4,,2024-07-07,08-26-2024
318200,2074,72,211,14,277.87,31/08/2024,N/A
309391,1810,20,217,4,127.62,N/A,08/09/2024
304081,3833,99,28,10,1068.6,2024-08-17,08-03-2024
311437,5172,46,206,11,698.71,07-22-2024,07-11-2024
188072,3653,117,915,12,207.95,2024-07-02,12/09/2024
325515,5126,45,1078,9,1402.37,2024-09-28,N/A
325693,1617,72,221,8,1226.41,07-19-2024,2024-07-18
314088,5574,214,232,7,1450.38,2024/09/11 05:06:27,09-29-2024
307417,1507,135,789,9,393.32,N/A,08/08/2024
47722,3217,59,552,11,145.62,2024-07-03,09-10-2024
148497,4098,25,297,1,879.43,N/A,09-12-2024
66879,611,128,1487,12,769.16,2024-08-14,08-17-2024
102678,3400,144,222,10,484.5,07-20-2024,2024/07/06 20:06:13
325614,4950,140,1059,12,1298.13,2024/07/20 12:14:30,08-09-2024
310141,5987,212,1033,11,692.68,2024-08-22,N/A
111197,2149,52,1147,6,1180.02,N/A,25/09/2024
326992,3734,118,961,10,1241.43,2024-07-11,N/A
327349,4491,9,26,7,139.12,N/A,N/A
313208,6944,117,766,7,232.44,30/08/2024,2024-07-05
277089,3484,8,678,13,889.29,N/A,09-02-2024
85971,4191,201,148,10,1287.59,05/08/2024,2024/09/26 22:57:19
162172,296,156,296,8,234.33,09/08/2024,2024/09/11 21:10:10
309531,2514,77,197, 5u ,1026.37,N/A,19/07/2024
294419,5777,130,763,5,1065.36,07-13-2024,2024-09-24
213100,3688,59,244,13,674.81,09/09/2024,24/08/2024
234502,432,129,167,14,531.61,06/08/2024,2024/09/19 18:05:45
226568,5391,178,908, 5u ,1315.76,2024/07/23 08:35:34,28/09/2024
32258,2899,194,1133,7,527.07,08-01-2024,2024-07-07
270630,2659,196,1089,6,1478.01,2024/08/11 02:55:14,07-24-2024
324376,3516,136,871,8,79.28,2024/09/14 09:51:49,09-15-2024
308473,2483,193,552,6,679.0,19/08/2024,N/A
310826,1565,82,792,1,1485.33,2024/09/19 23:30:20,N/A
290158,5387,210,675,12,750.32,08-14-2024,08-20-2024
88111,834,0,379,1,900.44,N/A,2024/07/16 15:02:23
90424,4081,399,898,1,1318.52,N/A,N/A
31744,1837,4,724,7,776.83,N/A,N/A
79180,1207,93,439,4,7.48,N/A,07-07-2024
157997,4430,143,659,10,1162.87,N/A,2024/07/24 23:52:51
318508,2412,50,899,11,1358.05,2024-09-23,2024-07-03
45414,184,126,113,14,588.7,10/09/2024,N/A
329134,2153,37,936,8,906.56,2024-07-20,02/09/2024
169238,93,178,949,6,33.93,2024/08/03 22:14:09,2024-09-03
195703,5715,185,218,5,1219.8,10/08/2024,2024/08/23 20:53:45
323309,5236,147,703,5,449.86,07/07/2024,22/07/2024
284464,1571,133,1080,9,336.56,N/A,08-14-2024
247601,1858,169,1106,4,251.33,18/07/2024,17/08/2024
307809,4857,132,465,2,263.08,24/08/2024,25/07/2024
310638,5553,84,512,4,1137.64,2024/07/11 15:17:15,16/09/2024
300365,2751,176,1028,12,486.85,08-15-2024,2024/07/11 18:43:43
240395,5726,200,711,13,569.01,2024/09/13 18:40:13,2024-07-15
209077,609,188,592,14,190.25,N/A,2024/08/29 04:06:04
62384,1941,7,1102,1,566.38,09-06-2024,2024/07/21 17:11:08
305873,5318,129,156,10,777.0,N/A,20/07/2024
313456,5775,197,198,9,1385.86,2024-08-09,2024-07-12
255216,4213,122,1053,2,1302.37,2024-09-28,2024-08-20
312213,1331,190,905,10,,2024/09/27 23:40:46,07-25-2024
320572,1538,94,307,13,1430.03,N/A,2024/07/08 08:11:31
258292,5088,202,1067,2,1342.32,N/A,N/A
303889,2482,195,62,9,729.19,2024/08/04 08:06:02,2024-09-13
324018,659,217,40,9,1380.64,N/A,07-16-2024
5642,95,58,735,14,175.99,2024/08/25 01:20:20,2024-09-25
249532,4694,46,564,13,577.64,05/09/2024,2024/07/11 04:38:48
302675,2165,114,1070,4,883.36,05/08/2024,2024/07/26 01:14:57
146325,5326,174,24,8,314.0,2024-09-18,2024-07-12
289313,1154,143,775,1,361.99,24/07/2024,2024-07-31
13111,3945,218,1076,11,993.41,2024-09-03,2024/09/02 22:48:56
148119,3530,108,955,2,832.22,08-01-2024,2024-09-07
321500,2902,95,518,12,587.14,2024-07-01,N/A
112493,3299,88,1056,2,535.28,09-20-2024,2024/09/24 14:06:46
305739,4634,95,250,11,73.58,2024-07-29,N/A
253439,1278,193,796,12,1379.72,08-14-2024,16/07/2024
27004,2903,98,856,9,382.89,2024-08-11,13/08/2024
319509,3141,44,303,9,,11/07/2024,2024/08/03 13:59:07
315025,3797,9,870,9,1144.62,N/A,17/07/2024
320891,3128,43,833,12,640.37,07/09/2024,N/A
326145,4974,159,633,4,612.25,07-23-2024,2024/07/11 13:32:40
304588,459,27,3,3,863.48,2024-07-07,09-09-2024
300814,3390,182,331,3,890.75,07-26-2024,N/A
284800,5661,182,40,13,757.19,N/A,2024/08/02 02:35:59
223002,3747,85,79,6,1042.54,N/A,17/07/2024
124663,1631,6,420,7,197.91,07-20-2024,2024/08/21 06:33:44
87830,1227,219,1075,14,988.66,09-28-2024,N/A
330708,5225,119,654,3,1099.6,N/A,2024-09-13
313157,5133,152,63,10,361.9,2024-07-28,20/07/2024
331965,4675,17,1033,6,,2024/08/07 22:08:32,2024-09-25
86609,2739,4,1190,14,1318.87,2024/08/26 18:46:00,N/A
224870,4703,88,1198,8,579.02,07-14-2024,N/A
159955,1293,148,89,1,952.07,N/A,13/08/2024
187137,2334,165,941,11,1029.43,N/A,N/A
202422,5699,201,431,4,891.21,2024/08/23 00:05:35,2024/08/19 14:15:19
106530,4301,108,366,5,1447.06,N/A,2024-09-23
310563,4248,150,295,1,595.09,N/A,2024/09/13 16:08:31
119475,5458,14,622,12,683.98,2024/07/08 08:59:29,2024-07-17
312507,3802,192,848,9,1298.86,2024/09/13 16:20:27,N/A
319330,5574,199,526,14,779.37,2024/09/07 07:12:59,2024/09/18 15:18:58
161438,1987,178,497,5,568.38,N/A,09-03-2024
87437,254,42,0,6,28.44,2024-07-17,07-10-2024
174425,1137,73,484,2,339.98,2024/09/04 11:11:28,17/07/2024
9210,3588,165,740,4,674.55,08-24-2024,08/07/2024
303154,3907,160,582, 5u ,677.39,07-27-2024,26/07/2024
304863,4093,142,795,9,165.16,2024/07/15 09:01:51,22/08/2024
331453,1195,173,275,5,143.48,08-04-2024,07-07-2024
311267,460,37,153,1,532.31,2024/07/13 07:45:53,2024/08/13 05:54:09
89325,1628,177,952,6,268.51,2024-09-06,01/09/2024
300113,2283,122,569,13,116.17,28/07/2024,09-12-2024
265672,1123,152,1153,13,563.47,2024/08/02 00:26:26,N/A
177852,1751,2,863,7,1327.84,2024/08/24 03:19:53,21/09/2024
